parent_id,child_id,parent_user,edge_type,source,child_date_unix,parent_date_unix,time_inverted,_removed_reason
34961,28590,juskiddink,pool,embedded,1285904220,1324597500.0,True,time_inverted
44314,28506,The Wolfpack,pool,embedded,1285404480,1385552280.0,True,time_inverted
44314,28476,The Wolfpack,pool,embedded,1285258800,1385552280.0,True,time_inverted
44314,28505,The Wolfpack,pool,embedded,1285404120,1385552280.0,True,time_inverted
44348,28470,Camelia Ashbach,pool,embedded,1285231320,1385884020.0,True,time_inverted
44314,28475,The Wolfpack,pool,embedded,1285258320,1385552280.0,True,time_inverted
44314,28433,The Wolfpack,pool,embedded,1284966660,1385552280.0,True,time_inverted
44314,28434,The Wolfpack,pool,embedded,1284974340,1385552280.0,True,time_inverted
44314,28435,The Wolfpack,pool,embedded,1284975540,1385552280.0,True,time_inverted
44300,28401,Sonic,pool,embedded,1284756360,1385406960.0,True,time_inverted
43157,28175,Hamface,pool,embedded,1283146980,1375613820.0,True,time_inverted
28887,28018,MiElle,local,embedded,1282076700,1287733980.0,True,time_inverted
41800,27945,CGEffex,pool,embedded,1281666180,1364541480.0,True,time_inverted
41786,27945,CGEffex,pool,embedded,1281666180,1364406660.0,True,time_inverted
44097,27945,awfulTHEsample,pool,embedded,1281666180,1383589620.0,True,time_inverted
44065,27897,pjcohen,pool,embedded,1281248700,1383360240.0,True,time_inverted
44066,27897,Kyster,pool,embedded,1281248700,1383373020.0,True,time_inverted
32017,27623,Steven M Br...,local,embedded,1279699740,1306745640.0,True,time_inverted
29830,27574,lonemonk,pool,embedded,1279362060,1293338280.0,True,time_inverted
43777,27563,xserra,pool,embedded,1279293300,1381502820.0,True,time_inverted
43869,27574,Tomlija,pool,embedded,1279362060,1382216940.0,True,time_inverted
39811,27450,Kitka,pool,embedded,1278583980,1352105280.0,True,time_inverted
42760,27450,otothefuck,pool,embedded,1278583980,1371962940.0,True,time_inverted
43112,27450,KGJones,pool,embedded,1278583980,1375138860.0,True,time_inverted
42372,27404,zinzan_101,pool,embedded,1278252000,1368310140.0,True,time_inverted
42373,27404,zinzan_101,pool,embedded,1278252000,1368320160.0,True,time_inverted
33565,27415,morgantj,pool,embedded,1278309540,1316257620.0,True,time_inverted
37181,27415,cognito perceptu,pool,embedded,1278309540,1336620420.0,True,time_inverted
42664,27393,Zozzy,pool,embedded,1278139440,1371003840.0,True,time_inverted
42371,27404,makemebad,pool,embedded,1278252000,1368306240.0,True,time_inverted
42627,27364,zgump,pool,embedded,1277914560,1370603280.0,True,time_inverted
36368,27274,Flick3r,pool,embedded,1277247240,1332168540.0,True,time_inverted
42325,27178,samule44,pool,embedded,1276986900,1367840580.0,True,time_inverted
41986,27158,E330,pool,embedded,1276768080,1365789600.0,True,time_inverted
39292,27159,epanody,pool,embedded,1276769460,1348252320.0,True,time_inverted
39295,27159,epanody,pool,embedded,1276769460,1348293060.0,True,time_inverted
41719,27142,CGEffex,pool,embedded,1276614120,1364004780.0,True,time_inverted
41275,26954,kerouacsamerica,pool,embedded,1275320940,1361048160.0,True,time_inverted
36130,26902,Rob Costlow,pool,embedded,1274884740,1331171100.0,True,time_inverted
36630,26719,analogchill,pool,embedded,1273641900,1333653660.0,True,time_inverted
40693,26678,al-wa7sh,pool,embedded,1273404960,1357199640.0,True,time_inverted
33576,26671,morgantj,pool,embedded,1273378260,1316290560.0,True,time_inverted
34029,26554,laurent,pool,embedded,1272668760,1319091300.0,True,time_inverted
39018,26505,sorohanro,pool,embedded,1272298380,1346608140.0,True,time_inverted
40344,26508,slumbermonkey,pool,embedded,1272344520,1355017200.0,True,time_inverted
38963,26505,sorohanro,pool,embedded,1272298380,1346349600.0,True,time_inverted
39019,26505,sorohanro,pool,embedded,1272298380,1346608380.0,True,time_inverted
26443,26442,Norms_World,local,embedded,1271882520,1271882700.0,True,time_inverted
40089,26416,xserra,pool,embedded,1271707920,1353593640.0,True,time_inverted
26311,26308,Fireproof_B...,local,embedded,1271066940,1271081640.0,True,time_inverted
26281,26280,2steps4ward,local,embedded,1270893840,1270895700.0,True,time_inverted
38983,26261,bleedingedgar,pool,embedded,1270816380,1346455740.0,True,time_inverted
39918,26159,parabolix,pool,embedded,1270271160,1352719800.0,True,time_inverted
36609,26142,Corsica_S,pool,embedded,1270187340,1333526160.0,True,time_inverted
37139,26058,thanvannispen,pool,embedded,1269708600,1336430340.0,True,time_inverted
39748,26017,juskiddink,pool,embedded,1269532260,1351816200.0,True,time_inverted
38028,25748,CyberiaLainKittyKat,pool,embedded,1268303160,1341340740.0,True,time_inverted
39234,25748,epanody,pool,embedded,1268303160,1347860280.0,True,time_inverted
25857,25760,2steps4ward,local,embedded,1268396340,1268991300.0,True,time_inverted
39245,25640,sandyrb,pool,embedded,1267687440,1347929460.0,True,time_inverted
39247,25648,Corsica_S,pool,embedded,1267714800,1347944700.0,True,time_inverted
38980,25496,Corsica_S,pool,embedded,1267159560,1346444220.0,True,time_inverted
38982,25504,chicocorrea,pool,embedded,1267192920,1346444880.0,True,time_inverted
38983,25504,bleedingedgar,pool,embedded,1267192920,1346455740.0,True,time_inverted
38961,25429,ERH,pool,embedded,1266763740,1346334600.0,True,time_inverted
38962,25429,Guitarz1970,pool,embedded,1266763740,1346344020.0,True,time_inverted
25455,25409,Sassygal,local,embedded,1266688560,1266941640.0,True,time_inverted
26326,25422,Tom_O,local,embedded,1266754680,1271169660.0,True,time_inverted
34693,25400,DJ Vadim,pool,embedded,1266634680,1322923200.0,True,time_inverted
33415,25315,meowtek,pool,embedded,1266176880,1315496880.0,True,time_inverted
38859,25315,meowtek,pool,embedded,1266176880,1345719360.0,True,time_inverted
26327,25257,Tom_O,local,embedded,1265908620,1271170080.0,True,time_inverted
25206,25190,Sassygal,local,embedded,1265549580,1265633580.0,True,time_inverted
34362,25145,Robbero,local,embedded,1265354580,1321330860.0,True,time_inverted
38754,24973,olo81,pool,embedded,1264489380,1345264020.0,True,time_inverted
53805,24960,Philippe Rivrain,pool,embedded,1264426380,1463206620.0,True,time_inverted
53806,24960,Philippe Rivrain,pool,embedded,1264426380,1463217060.0,True,time_inverted
53807,24960,Philippe Rivrain,pool,embedded,1264426380,1463228640.0,True,time_inverted
38489,24709,hyderpotter,pool,embedded,1262978280,1343640240.0,True,time_inverted
38490,24709,hyderpotter,pool,embedded,1262978280,1343641320.0,True,time_inverted
38459,24660,Freed,pool,embedded,1262624700,1343478180.0,True,time_inverted
38444,24648,mikaelfernstrom,pool,embedded,1262522340,1343440200.0,True,time_inverted
38458,24660,Freed,pool,embedded,1262624700,1343477280.0,True,time_inverted
28863,24520,alextundra,pool,embedded,1261844220,1287580980.0,True,time_inverted
